Field name,Description
INTERVAL_END, End period of the calculcated travel time. Periods are for a 5 minute period.
Links, The column value is avergae travel time in seconds. The column identifier is the Link location from colllection node to collection node. These are listed in detail in the Priority Route Link Details csv file. 
