Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,040913,2019,01,01,0.0,1,N
IDCJAC0009,040913,2019,01,02,0.0,1,N
IDCJAC0009,040913,2019,01,03,8.4,1,N
IDCJAC0009,040913,2019,01,04,7.0,1,N
IDCJAC0009,040913,2019,01,05,0.2,1,N
IDCJAC0009,040913,2019,01,06,0.0,1,N
IDCJAC0009,040913,2019,01,07,7.6,1,N
IDCJAC0009,040913,2019,01,08,2.0,1,N
IDCJAC0009,040913,2019,01,09,0.0,1,N
IDCJAC0009,040913,2019,01,10,0.6,1,N
IDCJAC0009,040913,2019,01,11,0.0,1,N
IDCJAC0009,040913,2019,01,12,0.0,1,N
IDCJAC0009,040913,2019,01,13,0.0,1,N
IDCJAC0009,040913,2019,01,14,0.0,1,N
IDCJAC0009,040913,2019,01,15,0.0,1,N
IDCJAC0009,040913,2019,01,16,0.0,1,N
IDCJAC0009,040913,2019,01,17,0.0,1,N
IDCJAC0009,040913,2019,01,18,0.0,1,N
IDCJAC0009,040913,2019,01,19,0.0,1,N
IDCJAC0009,040913,2019,01,20,0.0,1,N
IDCJAC0009,040913,2019,01,21,0.0,1,N
IDCJAC0009,040913,2019,01,22,0.0,1,N
IDCJAC0009,040913,2019,01,23,0.0,1,N
IDCJAC0009,040913,2019,01,24,,,
IDCJAC0009,040913,2019,01,25,0.6,1,N
IDCJAC0009,040913,2019,01,26,0.2,1,N
IDCJAC0009,040913,2019,01,27,0.0,1,N
IDCJAC0009,040913,2019,01,28,0.0,1,N
IDCJAC0009,040913,2019,01,29,1.0,1,N
IDCJAC0009,040913,2019,01,30,0.0,1,N
IDCJAC0009,040913,2019,01,31,0.0,1,N
IDCJAC0009,040913,2019,02,01,0.0,1,N
IDCJAC0009,040913,2019,02,02,1.0,1,N
IDCJAC0009,040913,2019,02,03,1.4,1,N
IDCJAC0009,040913,2019,02,04,3.0,1,N
IDCJAC0009,040913,2019,02,05,2.8,1,N
IDCJAC0009,040913,2019,02,06,17.2,1,N
IDCJAC0009,040913,2019,02,07,8.2,1,N
IDCJAC0009,040913,2019,02,08,2.6,1,N
IDCJAC0009,040913,2019,02,09,0.2,1,N
IDCJAC0009,040913,2019,02,10,0.0,1,N
IDCJAC0009,040913,2019,02,11,0.0,1,N
IDCJAC0009,040913,2019,02,12,0.0,1,N
IDCJAC0009,040913,2019,02,13,0.8,1,N
IDCJAC0009,040913,2019,02,14,0.0,1,N
IDCJAC0009,040913,2019,02,15,0.0,1,N
IDCJAC0009,040913,2019,02,16,0.0,1,N
IDCJAC0009,040913,2019,02,17,0.0,1,N
IDCJAC0009,040913,2019,02,18,0.0,1,N
IDCJAC0009,040913,2019,02,19,0.0,1,N
IDCJAC0009,040913,2019,02,20,0.0,1,N
IDCJAC0009,040913,2019,02,21,0.0,1,N
IDCJAC0009,040913,2019,02,22,0.2,1,N
IDCJAC0009,040913,2019,02,23,0.0,1,N
IDCJAC0009,040913,2019,02,24,0.0,1,N
IDCJAC0009,040913,2019,02,25,0.2,1,N
IDCJAC0009,040913,2019,02,26,0.2,1,N
IDCJAC0009,040913,2019,02,27,0.0,1,N
IDCJAC0009,040913,2019,02,28,0.2,1,N
IDCJAC0009,040913,2019,03,01,1.2,1,N
IDCJAC0009,040913,2019,03,02,4.8,1,N
IDCJAC0009,040913,2019,03,03,3.2,1,N
IDCJAC0009,040913,2019,03,04,1.2,1,N
IDCJAC0009,040913,2019,03,05,0.0,1,N
IDCJAC0009,040913,2019,03,06,0.2,1,N
IDCJAC0009,040913,2019,03,07,0.0,1,N
IDCJAC0009,040913,2019,03,08,4.4,1,N
IDCJAC0009,040913,2019,03,09,0.0,1,N
IDCJAC0009,040913,2019,03,10,0.0,1,N
IDCJAC0009,040913,2019,03,11,0.0,1,N
IDCJAC0009,040913,2019,03,12,0.2,1,N
IDCJAC0009,040913,2019,03,13,0.0,1,N
IDCJAC0009,040913,2019,03,14,0.0,1,N
IDCJAC0009,040913,2019,03,15,4.2,1,N
IDCJAC0009,040913,2019,03,16,39.6,1,N
IDCJAC0009,040913,2019,03,17,54.0,1,N
IDCJAC0009,040913,2019,03,18,18.4,1,N
IDCJAC0009,040913,2019,03,19,18.8,1,N
IDCJAC0009,040913,2019,03,20,0.0,1,N
IDCJAC0009,040913,2019,03,21,0.0,1,N
IDCJAC0009,040913,2019,03,22,0.0,1,N
IDCJAC0009,040913,2019,03,23,0.0,1,N
IDCJAC0009,040913,2019,03,24,0.0,1,N
IDCJAC0009,040913,2019,03,25,0.0,1,N
IDCJAC0009,040913,2019,03,26,0.0,1,N
IDCJAC0009,040913,2019,03,27,0.4,1,N
IDCJAC0009,040913,2019,03,28,18.0,1,N
IDCJAC0009,040913,2019,03,29,1.2,1,N
IDCJAC0009,040913,2019,03,30,6.6,1,N
IDCJAC0009,040913,2019,03,31,4.6,1,N
IDCJAC0009,040913,2019,04,01,0.0,1,N
IDCJAC0009,040913,2019,04,02,0.0,1,N
IDCJAC0009,040913,2019,04,03,4.0,1,N
IDCJAC0009,040913,2019,04,04,6.2,1,N
IDCJAC0009,040913,2019,04,05,1.0,1,N
IDCJAC0009,040913,2019,04,06,0.0,1,N
IDCJAC0009,040913,2019,04,07,0.0,1,N
IDCJAC0009,040913,2019,04,08,0.0,1,N
IDCJAC0009,040913,2019,04,09,0.0,1,N
IDCJAC0009,040913,2019,04,10,0.0,1,N
IDCJAC0009,040913,2019,04,11,0.0,1,N
IDCJAC0009,040913,2019,04,12,0.0,1,N
IDCJAC0009,040913,2019,04,13,3.2,1,N
IDCJAC0009,040913,2019,04,14,0.0,1,N
IDCJAC0009,040913,2019,04,15,0.0,1,N
IDCJAC0009,040913,2019,04,16,0.0,1,N
IDCJAC0009,040913,2019,04,17,0.8,1,N
IDCJAC0009,040913,2019,04,18,0.2,1,N
IDCJAC0009,040913,2019,04,19,0.4,1,N
IDCJAC0009,040913,2019,04,20,11.0,1,N
IDCJAC0009,040913,2019,04,21,11.0,1,N
IDCJAC0009,040913,2019,04,22,1.4,1,N
IDCJAC0009,040913,2019,04,23,3.4,1,N
IDCJAC0009,040913,2019,04,24,0.0,1,N
IDCJAC0009,040913,2019,04,25,0.0,1,N
IDCJAC0009,040913,2019,04,26,0.0,1,N
IDCJAC0009,040913,2019,04,27,0.0,1,N
IDCJAC0009,040913,2019,04,28,0.0,1,N
IDCJAC0009,040913,2019,04,29,0.0,1,N
IDCJAC0009,040913,2019,04,30,0.0,1,N
IDCJAC0009,040913,2019,05,01,2.2,1,N
